,Date,Province_State,Days,Growth Rate,New cases,Total cases
192,2020-01-25,Indiana,3,0.0,0,0
193,2020-01-25,Iowa,3,0.0,0,0
194,2020-01-25,Kansas,3,0.0,0,0
195,2020-01-25,Kentucky,3,0.0,0,0
196,2020-01-25,Louisiana,3,0.0,0,0
197,2020-01-25,Maine,3,0.0,0,0
198,2020-01-25,Maryland,3,0.0,0,0
199,2020-01-25,Massachusetts,3,0.0,0,0
200,2020-01-25,Michigan,3,0.0,0,0
201,2020-01-25,Minnesota,3,0.0,0,0
202,2020-01-25,Mississippi,3,0.0,0,0
203,2020-01-25,Missouri,3,0.0,0,0
204,2020-01-25,Montana,3,0.0,0,0
205,2020-01-25,Nebraska,3,0.0,0,0
206,2020-01-25,Nevada,3,0.0,0,0
207,2020-01-25,New Hampshire,3,0.0,0,0
208,2020-01-25,New Jersey,3,0.0,0,0
209,2020-01-25,New Mexico,3,0.0,0,0
210,2020-01-25,New York,3,0.0,0,0
211,2020-01-25,North Carolina,3,0.0,0,0
212,2020-01-25,North Dakota,3,0.0,0,0
213,2020-01-25,Northern Mariana Islands,3,0.0,0,0
214,2020-01-25,Ohio,3,0.0,0,0
215,2020-01-25,Oklahoma,3,0.0,0,0
216,2020-01-25,Oregon,3,0.0,0,0
217,2020-01-25,Pennsylvania,3,0.0,0,0
218,2020-01-25,Puerto Rico,3,0.0,0,0
219,2020-01-25,Rhode Island,3,0.0,0,0
220,2020-01-25,South Carolina,3,0.0,0,0
221,2020-01-25,South Dakota,3,0.0,0,0
222,2020-01-25,Tennessee,3,0.0,0,0
223,2020-01-25,Texas,3,0.0,0,0
224,2020-01-25,Utah,3,0.0,0,0
225,2020-01-25,Vermont,3,0.0,0,0
226,2020-01-25,Virgin Islands,3,0.0,0,0
227,2020-01-25,Virginia,3,0.0,0,0
228,2020-01-25,Washington,3,0.0,0,0
229,2020-01-25,West Virginia,3,0.0,0,0
230,2020-01-25,Wisconsin,3,0.0,0,0
231,2020-01-25,Wyoming,3,0.0,0,0
232,2020-01-26,Alabama,4,0.0,0,0
233,2020-01-26,Alaska,4,0.0,0,0
234,2020-01-26,American Samoa,4,0.0,0,0
235,2020-01-26,Arizona,4,0.0,0,0
236,2020-01-26,Arkansas,4,0.0,0,0
237,2020-01-26,California,4,0.0,0,0
238,2020-01-26,Colorado,4,0.0,0,0
239,2020-01-26,Connecticut,4,0.0,0,0
240,2020-01-26,Delaware,4,0.0,0,0
241,2020-01-26,Diamond Princess,4,0.0,0,0
242,2020-01-26,District of Columbia,4,0.0,0,0
243,2020-01-26,Florida,4,0.0,0,0
244,2020-01-26,Georgia,4,0.0,0,0
245,2020-01-26,Grand Princess,4,0.0,0,0
246,2020-01-26,Guam,4,0.0,0,0
247,2020-01-26,Hawaii,4,0.0,0,0
248,2020-01-26,Idaho,4,0.0,0,0
249,2020-01-26,Illinois,4,0.0,0,0
250,2020-01-26,Indiana,4,0.0,0,0
251,2020-01-26,Iowa,4,0.0,0,0
252,2020-01-26,Kansas,4,0.0,0,0
253,2020-01-26,Kentucky,4,0.0,0,0
254,2020-01-26,Louisiana,4,0.0,0,0
255,2020-01-26,Maine,4,0.0,0,0
256,2020-01-26,Maryland,4,0.0,0,0
257,2020-01-26,Massachusetts,4,0.0,0,0
258,2020-01-26,Michigan,4,0.0,0,0
259,2020-01-26,Minnesota,4,0.0,0,0
260,2020-01-26,Mississippi,4,0.0,0,0
261,2020-01-26,Missouri,4,0.0,0,0
262,2020-01-26,Montana,4,0.0,0,0
263,2020-01-26,Nebraska,4,0.0,0,0
264,2020-01-26,Nevada,4,0.0,0,0
265,2020-01-26,New Hampshire,4,0.0,0,0
266,2020-01-26,New Jersey,4,0.0,0,0
267,2020-01-26,New Mexico,4,0.0,0,0
268,2020-01-26,New York,4,0.0,0,0
269,2020-01-26,North Carolina,4,0.0,0,0
270,2020-01-26,North Dakota,4,0.0,0,0
271,2020-01-26,Northern Mariana Islands,4,0.0,0,0
272,2020-01-26,Ohio,4,0.0,0,0
273,2020-01-26,Oklahoma,4,0.0,0,0
274,2020-01-26,Oregon,4,0.0,0,0
275,2020-01-26,Pennsylvania,4,0.0,0,0
276,2020-01-26,Puerto Rico,4,0.0,0,0
277,2020-01-26,Rhode Island,4,0.0,0,0
278,2020-01-26,South Carolina,4,0.0,0,0
279,2020-01-26,South Dakota,4,0.0,0,0
280,2020-01-26,Tennessee,4,0.0,0,0
281,2020-01-26,Texas,4,0.0,0,0
282,2020-01-26,Utah,4,0.0,0,0
283,2020-01-26,Vermont,4,0.0,0,0
284,2020-01-26,Virgin Islands,4,0.0,0,0
285,2020-01-26,Virginia,4,0.0,0,0
286,2020-01-26,Washington,4,0.0,0,0
287,2020-01-26,West Virginia,4,0.0,0,0
288,2020-01-26,Wisconsin,4,0.0,0,0
289,2020-01-26,Wyoming,4,0.0,0,0
290,2020-01-27,Alabama,5,0.0,0,0
291,2020-01-27,Alaska,5,0.0,0,0
292,2020-01-27,American Samoa,5,0.0,0,0
293,2020-01-27,Arizona,5,0.0,0,0
294,2020-01-27,Arkansas,5,0.0,0,0
295,2020-01-27,California,5,0.0,0,0
296,2020-01-27,Colorado,5,0.0,0,0
297,2020-01-27,Connecticut,5,0.0,0,0
298,2020-01-27,Delaware,5,0.0,0,0
299,2020-01-27,Diamond Princess,5,0.0,0,0
300,2020-01-27,District of Columbia,5,0.0,0,0
301,2020-01-27,Florida,5,0.0,0,0
302,2020-01-27,Georgia,5,0.0,0,0
303,2020-01-27,Grand Princess,5,0.0,0,0
304,2020-01-27,Guam,5,0.0,0,0
305,2020-01-27,Hawaii,5,0.0,0,0
306,2020-01-27,Idaho,5,0.0,0,0
307,2020-01-27,Illinois,5,0.0,0,0
308,2020-01-27,Indiana,5,0.0,0,0
309,2020-01-27,Iowa,5,0.0,0,0
310,2020-01-27,Kansas,5,0.0,0,0
311,2020-01-27,Kentucky,5,0.0,0,0
312,2020-01-27,Louisiana,5,0.0,0,0
313,2020-01-27,Maine,5,0.0,0,0
314,2020-01-27,Maryland,5,0.0,0,0
315,2020-01-27,Massachusetts,5,0.0,0,0
316,2020-01-27,Michigan,5,0.0,0,0
317,2020-01-27,Minnesota,5,0.0,0,0
318,2020-01-27,Mississippi,5,0.0,0,0
319,2020-01-27,Missouri,5,0.0,0,0
320,2020-01-27,Montana,5,0.0,0,0
321,2020-01-27,Nebraska,5,0.0,0,0
322,2020-01-27,Nevada,5,0.0,0,0
323,2020-01-27,New Hampshire,5,0.0,0,0
324,2020-01-27,New Jersey,5,0.0,0,0
325,2020-01-27,New Mexico,5,0.0,0,0
326,2020-01-27,New York,5,0.0,0,0
327,2020-01-27,North Carolina,5,0.0,0,0
328,2020-01-27,North Dakota,5,0.0,0,0
329,2020-01-27,Northern Mariana Islands,5,0.0,0,0
330,2020-01-27,Ohio,5,0.0,0,0
331,2020-01-27,Oklahoma,5,0.0,0,0
332,2020-01-27,Oregon,5,0.0,0,0
333,2020-01-27,Pennsylvania,5,0.0,0,0
334,2020-01-27,Puerto Rico,5,0.0,0,0
335,2020-01-27,Rhode Island,5,0.0,0,0
336,2020-01-27,South Carolina,5,0.0,0,0
337,2020-01-27,South Dakota,5,0.0,0,0
338,2020-01-27,Tennessee,5,0.0,0,0
339,2020-01-27,Texas,5,0.0,0,0
340,2020-01-27,Utah,5,0.0,0,0
341,2020-01-27,Vermont,5,0.0,0,0
342,2020-01-27,Virgin Islands,5,0.0,0,0
343,2020-01-27,Virginia,5,0.0,0,0
344,2020-01-27,Washington,5,0.0,0,0
345,2020-01-27,West Virginia,5,0.0,0,0
346,2020-01-27,Wisconsin,5,0.0,0,0
347,2020-01-27,Wyoming,5,0.0,0,0
348,2020-01-28,Alabama,6,0.0,0,0
349,2020-01-28,Alaska,6,0.0,0,0
350,2020-01-28,American Samoa,6,0.0,0,0
351,2020-01-28,Arizona,6,0.0,0,0
352,2020-01-28,Arkansas,6,0.0,0,0
353,2020-01-28,California,6,0.0,0,0
354,2020-01-28,Colorado,6,0.0,0,0
355,2020-01-28,Connecticut,6,0.0,0,0
356,2020-01-28,Delaware,6,0.0,0,0
357,2020-01-28,Diamond Princess,6,0.0,0,0
358,2020-01-28,District of Columbia,6,0.0,0,0
359,2020-01-28,Florida,6,0.0,0,0
360,2020-01-28,Georgia,6,0.0,0,0
361,2020-01-28,Grand Princess,6,0.0,0,0
362,2020-01-28,Guam,6,0.0,0,0
363,2020-01-28,Hawaii,6,0.0,0,0
364,2020-01-28,Idaho,6,0.0,0,0
365,2020-01-28,Illinois,6,0.0,0,0
366,2020-01-28,Indiana,6,0.0,0,0
367,2020-01-28,Iowa,6,0.0,0,0
368,2020-01-28,Kansas,6,0.0,0,0
369,2020-01-28,Kentucky,6,0.0,0,0
370,2020-01-28,Louisiana,6,0.0,0,0
371,2020-01-28,Maine,6,0.0,0,0
372,2020-01-28,Maryland,6,0.0,0,0
373,2020-01-28,Massachusetts,6,0.0,0,0
374,2020-01-28,Michigan,6,0.0,0,0
375,2020-01-28,Minnesota,6,0.0,0,0
376,2020-01-28,Mississippi,6,0.0,0,0
377,2020-01-28,Missouri,6,0.0,0,0
378,2020-01-28,Montana,6,0.0,0,0
379,2020-01-28,Nebraska,6,0.0,0,0
380,2020-01-28,Nevada,6,0.0,0,0
381,2020-01-28,New Hampshire,6,0.0,0,0
382,2020-01-28,New Jersey,6,0.0,0,0
383,2020-01-28,New Mexico,6,0.0,0,0
384,2020-01-28,New York,6,0.0,0,0
385,2020-01-28,North Carolina,6,0.0,0,0
386,2020-01-28,North Dakota,6,0.0,0,0
387,2020-01-28,Northern Mariana Islands,6,0.0,0,0
388,2020-01-28,Ohio,6,0.0,0,0
389,2020-01-28,Oklahoma,6,0.0,0,0
390,2020-01-28,Oregon,6,0.0,0,0
391,2020-01-28,Pennsylvania,6,0.0,0,0
392,2020-01-28,Puerto Rico,6,0.0,0,0
393,2020-01-28,Rhode Island,6,0.0,0,0
