,Date,Province/State,Total cases,Total cases per million,New cases,css_per_prsn,New cases per week,log10(Total cases),log10(New cases per week),Slope of power-law,Acceleration of power-law,Growth Rate,Days since first case,Average Growth Rate,Doubling time
90,2020-02-02,Northern Territory,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,11,,
91,2020-02-02,Queensland,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,11,,
92,2020-02-02,South Australia,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,11,,
93,2020-02-02,Tasmania,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,11,,
94,2020-02-02,Victoria,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,11,,
95,2020-02-02,Western Australia,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,11,,
96,2020-02-03,Australian Capital Territory,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,12,,
97,2020-02-03,New South Wales,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,12,,
98,2020-02-03,Northern Territory,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,12,,
99,2020-02-03,Queensland,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,12,,
100,2020-02-03,South Australia,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,12,,
101,2020-02-03,Tasmania,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,12,,
102,2020-02-03,Victoria,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,12,,
103,2020-02-03,Western Australia,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,12,,
104,2020-02-04,Australian Capital Territory,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,13,,
105,2020-02-04,New South Wales,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,13,,
106,2020-02-04,Northern Territory,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,13,,
107,2020-02-04,Queensland,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,13,,
108,2020-02-04,South Australia,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,13,,
109,2020-02-04,Tasmania,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,13,,
110,2020-02-04,Victoria,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,13,,
111,2020-02-04,Western Australia,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,13,,
112,2020-02-05,Australian Capital Territory,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,14,,
113,2020-02-05,New South Wales,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,14,,
114,2020-02-05,Northern Territory,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,14,,
115,2020-02-05,Queensland,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,14,,
116,2020-02-05,South Australia,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,14,,
117,2020-02-05,Tasmania,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,14,,
118,2020-02-05,Victoria,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,14,,
119,2020-02-05,Western Australia,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,14,,
120,2020-02-06,Australian Capital Territory,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,15,,
121,2020-02-06,New South Wales,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,15,,
122,2020-02-06,Northern Territory,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,15,,
123,2020-02-06,Queensland,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,15,,
124,2020-02-06,South Australia,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,15,,
125,2020-02-06,Tasmania,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,15,,
126,2020-02-06,Victoria,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,15,,
127,2020-02-06,Western Australia,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,15,,
128,2020-02-07,Australian Capital Territory,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,16,,
129,2020-02-07,New South Wales,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,16,,
130,2020-02-07,Northern Territory,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,16,,
131,2020-02-07,Queensland,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,16,,
132,2020-02-07,South Australia,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,16,,
133,2020-02-07,Tasmania,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,16,,
134,2020-02-07,Victoria,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,16,,
135,2020-02-07,Western Australia,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,16,,
136,2020-02-08,Australian Capital Territory,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,17,,
137,2020-02-08,New South Wales,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,17,,
138,2020-02-08,Northern Territory,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,17,,
139,2020-02-08,Queensland,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,17,,
140,2020-02-08,South Australia,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,17,,
141,2020-02-08,Tasmania,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,17,,
142,2020-02-08,Victoria,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,17,,
143,2020-02-08,Western Australia,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,17,,
144,2020-02-09,Australian Capital Territory,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,18,,
145,2020-02-09,New South Wales,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,18,,
146,2020-02-09,Northern Territory,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,18,,
147,2020-02-09,Queensland,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,18,,
148,2020-02-09,South Australia,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,18,,
149,2020-02-09,Tasmania,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,18,,
150,2020-02-09,Victoria,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,18,,
151,2020-02-09,Western Australia,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,18,,
152,2020-02-10,Australian Capital Territory,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,19,,
153,2020-02-10,New South Wales,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,19,,
154,2020-02-10,Northern Territory,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,19,,
155,2020-02-10,Queensland,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,19,,
156,2020-02-10,South Australia,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,19,,
157,2020-02-10,Tasmania,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,19,,
158,2020-02-10,Victoria,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,19,,
159,2020-02-10,Western Australia,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,19,,
160,2020-02-11,Australian Capital Territory,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,20,,
161,2020-02-11,New South Wales,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,20,,
162,2020-02-11,Northern Territory,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,20,,
163,2020-02-11,Queensland,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,20,,
164,2020-02-11,South Australia,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,20,,
165,2020-02-11,Tasmania,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,20,,
166,2020-02-11,Victoria,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,20,,
167,2020-02-11,Western Australia,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,20,,
168,2020-02-12,Australian Capital Territory,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,21,,
169,2020-02-12,New South Wales,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,21,,
170,2020-02-12,Northern Territory,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,21,,
171,2020-02-12,Queensland,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,21,,
172,2020-02-12,South Australia,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,21,,
173,2020-02-12,Tasmania,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,21,,
174,2020-02-12,Victoria,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,21,,
175,2020-02-12,Western Australia,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,21,,
176,2020-02-13,Australian Capital Territory,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,22,,
177,2020-02-13,New South Wales,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,22,,
178,2020-02-13,Northern Territory,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,22,,
179,2020-02-13,Queensland,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,22,,
180,2020-02-13,South Australia,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,22,,
181,2020-02-13,Tasmania,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,22,,
182,2020-02-13,Victoria,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,22,,
183,2020-02-13,Western Australia,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,22,,
184,2020-02-14,Australian Capital Territory,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,23,,
185,2020-02-14,New South Wales,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,23,,
186,2020-02-14,Northern Territory,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,23,,
187,2020-02-14,Queensland,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,23,,
188,2020-02-14,South Australia,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,23,,
189,2020-02-14,Tasmania,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,23,,
190,2020-02-14,Victoria,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,23,,
191,2020-02-14,Western Australia,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,23,,
192,2020-02-15,Australian Capital Territory,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,24,,
193,2020-02-15,New South Wales,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,24,,
194,2020-02-15,Northern Territory,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,24,,
195,2020-02-15,Queensland,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,24,,
196,2020-02-15,South Australia,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,24,,
197,2020-02-15,Tasmania,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,24,,
198,2020-02-15,Victoria,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,24,,
199,2020-02-15,Western Australia,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,24,,
200,2020-02-16,Australian Capital Territory,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,25,,
201,2020-02-16,New South Wales,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,25,,
202,2020-02-16,Northern Territory,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,25,,
203,2020-02-16,Queensland,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,25,,
204,2020-02-16,South Australia,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,25,,
205,2020-02-16,Tasmania,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,25,,
206,2020-02-16,Victoria,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,25,,
207,2020-02-16,Western Australia,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,25,,
208,2020-02-17,Australian Capital Territory,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,26,,
209,2020-02-17,New South Wales,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,26,,
210,2020-02-17,Northern Territory,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,26,,
211,2020-02-17,Queensland,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,26,,
212,2020-02-17,South Australia,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,26,,
213,2020-02-17,Tasmania,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,26,,
214,2020-02-17,Victoria,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,26,,
215,2020-02-17,Western Australia,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,26,,
216,2020-02-18,Australian Capital Territory,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,27,,
217,2020-02-18,New South Wales,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,27,,
218,2020-02-18,Northern Territory,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,27,,
219,2020-02-18,Queensland,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,27,,
220,2020-02-18,South Australia,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,27,,
