,Date,Province/State,indicator,value,Days
274,2020-01-24,Tasmania,Total cases per million,0.0,2
275,2020-01-24,Tasmania,New cases,0.0,2
276,2020-01-24,Tasmania,css_per_prsn,0.0,2
277,2020-01-24,Tasmania,New cases per week,0.0,2
278,2020-01-24,Tasmania,log10(Total cases),0.0,2
279,2020-01-24,Tasmania,log10(New cases per week),0.0,2
280,2020-01-24,Tasmania,Slope of power-law,0.0,2
281,2020-01-24,Tasmania,Acceleration of power-law,0.0,2
282,2020-01-24,Tasmania,Growth Rate,0.0,2
283,2020-01-24,Tasmania,Days since first case,2.0,2
284,2020-01-24,Tasmania,Average Growth Rate,0.0,2
285,2020-01-24,Tasmania,Doubling time,0.0,2
286,2020-01-24,Victoria,Total cases,0.0,2
287,2020-01-24,Victoria,Total cases per million,0.0,2
288,2020-01-24,Victoria,New cases,0.0,2
289,2020-01-24,Victoria,css_per_prsn,0.0,2
290,2020-01-24,Victoria,New cases per week,0.0,2
291,2020-01-24,Victoria,log10(Total cases),0.0,2
292,2020-01-24,Victoria,log10(New cases per week),0.0,2
293,2020-01-24,Victoria,Slope of power-law,0.0,2
294,2020-01-24,Victoria,Acceleration of power-law,0.0,2
295,2020-01-24,Victoria,Growth Rate,0.0,2
296,2020-01-24,Victoria,Days since first case,2.0,2
297,2020-01-24,Victoria,Average Growth Rate,0.0,2
298,2020-01-24,Victoria,Doubling time,0.0,2
299,2020-01-24,Western Australia,Total cases,0.0,2
300,2020-01-24,Western Australia,Total cases per million,0.0,2
301,2020-01-24,Western Australia,New cases,0.0,2
302,2020-01-24,Western Australia,css_per_prsn,0.0,2
303,2020-01-24,Western Australia,New cases per week,0.0,2
304,2020-01-24,Western Australia,log10(Total cases),0.0,2
305,2020-01-24,Western Australia,log10(New cases per week),0.0,2
306,2020-01-24,Western Australia,Slope of power-law,0.0,2
307,2020-01-24,Western Australia,Acceleration of power-law,0.0,2
308,2020-01-24,Western Australia,Growth Rate,0.0,2
309,2020-01-24,Western Australia,Days since first case,2.0,2
310,2020-01-24,Western Australia,Average Growth Rate,0.0,2
311,2020-01-24,Western Australia,Doubling time,0.0,2
312,2020-01-25,Australian Capital Territory,Total cases,0.0,3
313,2020-01-25,Australian Capital Territory,Total cases per million,0.0,3
314,2020-01-25,Australian Capital Territory,New cases,0.0,3
315,2020-01-25,Australian Capital Territory,css_per_prsn,0.0,3
316,2020-01-25,Australian Capital Territory,New cases per week,0.0,3
317,2020-01-25,Australian Capital Territory,log10(Total cases),0.0,3
318,2020-01-25,Australian Capital Territory,log10(New cases per week),0.0,3
319,2020-01-25,Australian Capital Territory,Slope of power-law,0.0,3
320,2020-01-25,Australian Capital Territory,Acceleration of power-law,0.0,3
321,2020-01-25,Australian Capital Territory,Growth Rate,0.0,3
322,2020-01-25,Australian Capital Territory,Days since first case,3.0,3
323,2020-01-25,Australian Capital Territory,Average Growth Rate,0.0,3
324,2020-01-25,Australian Capital Territory,Doubling time,0.0,3
325,2020-01-25,New South Wales,Total cases,0.0,3
326,2020-01-25,New South Wales,Total cases per million,0.0,3
327,2020-01-25,New South Wales,New cases,0.0,3
328,2020-01-25,New South Wales,css_per_prsn,0.0,3
329,2020-01-25,New South Wales,New cases per week,0.0,3
330,2020-01-25,New South Wales,log10(Total cases),0.0,3
331,2020-01-25,New South Wales,log10(New cases per week),0.0,3
332,2020-01-25,New South Wales,Slope of power-law,0.0,3
333,2020-01-25,New South Wales,Acceleration of power-law,0.0,3
334,2020-01-25,New South Wales,Growth Rate,0.0,3
335,2020-01-25,New South Wales,Days since first case,3.0,3
336,2020-01-25,New South Wales,Average Growth Rate,0.0,3
337,2020-01-25,New South Wales,Doubling time,0.0,3
338,2020-01-25,Northern Territory,Total cases,0.0,3
339,2020-01-25,Northern Territory,Total cases per million,0.0,3
340,2020-01-25,Northern Territory,New cases,0.0,3
341,2020-01-25,Northern Territory,css_per_prsn,0.0,3
342,2020-01-25,Northern Territory,New cases per week,0.0,3
343,2020-01-25,Northern Territory,log10(Total cases),0.0,3
344,2020-01-25,Northern Territory,log10(New cases per week),0.0,3
345,2020-01-25,Northern Territory,Slope of power-law,0.0,3
346,2020-01-25,Northern Territory,Acceleration of power-law,0.0,3
347,2020-01-25,Northern Territory,Growth Rate,0.0,3
348,2020-01-25,Northern Territory,Days since first case,3.0,3
349,2020-01-25,Northern Territory,Average Growth Rate,0.0,3
350,2020-01-25,Northern Territory,Doubling time,0.0,3
351,2020-01-25,Queensland,Total cases,0.0,3
352,2020-01-25,Queensland,Total cases per million,0.0,3
353,2020-01-25,Queensland,New cases,0.0,3
354,2020-01-25,Queensland,css_per_prsn,0.0,3
355,2020-01-25,Queensland,New cases per week,0.0,3
356,2020-01-25,Queensland,log10(Total cases),0.0,3
357,2020-01-25,Queensland,log10(New cases per week),0.0,3
358,2020-01-25,Queensland,Slope of power-law,0.0,3
359,2020-01-25,Queensland,Acceleration of power-law,0.0,3
360,2020-01-25,Queensland,Growth Rate,0.0,3
361,2020-01-25,Queensland,Days since first case,3.0,3
362,2020-01-25,Queensland,Average Growth Rate,0.0,3
363,2020-01-25,Queensland,Doubling time,0.0,3
364,2020-01-25,South Australia,Total cases,0.0,3
365,2020-01-25,South Australia,Total cases per million,0.0,3
366,2020-01-25,South Australia,New cases,0.0,3
367,2020-01-25,South Australia,css_per_prsn,0.0,3
368,2020-01-25,South Australia,New cases per week,0.0,3
369,2020-01-25,South Australia,log10(Total cases),0.0,3
370,2020-01-25,South Australia,log10(New cases per week),0.0,3
371,2020-01-25,South Australia,Slope of power-law,0.0,3
372,2020-01-25,South Australia,Acceleration of power-law,0.0,3
373,2020-01-25,South Australia,Growth Rate,0.0,3
374,2020-01-25,South Australia,Days since first case,3.0,3
375,2020-01-25,South Australia,Average Growth Rate,0.0,3
376,2020-01-25,South Australia,Doubling time,0.0,3
377,2020-01-25,Tasmania,Total cases,0.0,3
378,2020-01-25,Tasmania,Total cases per million,0.0,3
379,2020-01-25,Tasmania,New cases,0.0,3
380,2020-01-25,Tasmania,css_per_prsn,0.0,3
381,2020-01-25,Tasmania,New cases per week,0.0,3
382,2020-01-25,Tasmania,log10(Total cases),0.0,3
383,2020-01-25,Tasmania,log10(New cases per week),0.0,3
384,2020-01-25,Tasmania,Slope of power-law,0.0,3
385,2020-01-25,Tasmania,Acceleration of power-law,0.0,3
386,2020-01-25,Tasmania,Growth Rate,0.0,3
387,2020-01-25,Tasmania,Days since first case,3.0,3
388,2020-01-25,Tasmania,Average Growth Rate,0.0,3
389,2020-01-25,Tasmania,Doubling time,0.0,3
390,2020-01-25,Victoria,Total cases,0.0,3
391,2020-01-25,Victoria,Total cases per million,0.0,3
392,2020-01-25,Victoria,New cases,0.0,3
393,2020-01-25,Victoria,css_per_prsn,0.0,3
394,2020-01-25,Victoria,New cases per week,0.0,3
395,2020-01-25,Victoria,log10(Total cases),0.0,3
396,2020-01-25,Victoria,log10(New cases per week),0.0,3
397,2020-01-25,Victoria,Slope of power-law,0.0,3
398,2020-01-25,Victoria,Acceleration of power-law,0.0,3
399,2020-01-25,Victoria,Growth Rate,0.0,3
400,2020-01-25,Victoria,Days since first case,3.0,3
401,2020-01-25,Victoria,Average Growth Rate,0.0,3
402,2020-01-25,Victoria,Doubling time,0.0,3
403,2020-01-25,Western Australia,Total cases,0.0,3
404,2020-01-25,Western Australia,Total cases per million,0.0,3
405,2020-01-25,Western Australia,New cases,0.0,3
406,2020-01-25,Western Australia,css_per_prsn,0.0,3
407,2020-01-25,Western Australia,New cases per week,0.0,3
408,2020-01-25,Western Australia,log10(Total cases),0.0,3
409,2020-01-25,Western Australia,log10(New cases per week),0.0,3
410,2020-01-25,Western Australia,Slope of power-law,0.0,3
411,2020-01-25,Western Australia,Acceleration of power-law,0.0,3
412,2020-01-25,Western Australia,Growth Rate,0.0,3
413,2020-01-25,Western Australia,Days since first case,3.0,3
414,2020-01-25,Western Australia,Average Growth Rate,0.0,3
415,2020-01-25,Western Australia,Doubling time,0.0,3
416,2020-01-26,Australian Capital Territory,Total cases,0.0,4
417,2020-01-26,Australian Capital Territory,Total cases per million,0.0,4
418,2020-01-26,Australian Capital Territory,New cases,0.0,4
419,2020-01-26,Australian Capital Territory,css_per_prsn,0.0,4
420,2020-01-26,Australian Capital Territory,New cases per week,0.0,4
421,2020-01-26,Australian Capital Territory,log10(Total cases),0.0,4
422,2020-01-26,Australian Capital Territory,log10(New cases per week),0.0,4
423,2020-01-26,Australian Capital Territory,Slope of power-law,0.0,4
424,2020-01-26,Australian Capital Territory,Acceleration of power-law,0.0,4
425,2020-01-26,Australian Capital Territory,Growth Rate,0.0,4
426,2020-01-26,Australian Capital Territory,Days since first case,4.0,4
427,2020-01-26,Australian Capital Territory,Average Growth Rate,0.0,4
428,2020-01-26,Australian Capital Territory,Doubling time,0.0,4
429,2020-01-26,New South Wales,Total cases,0.0,4
430,2020-01-26,New South Wales,Total cases per million,0.0,4
431,2020-01-26,New South Wales,New cases,0.0,4
432,2020-01-26,New South Wales,css_per_prsn,0.0,4
433,2020-01-26,New South Wales,New cases per week,0.0,4
434,2020-01-26,New South Wales,log10(Total cases),0.0,4
435,2020-01-26,New South Wales,log10(New cases per week),0.0,4
436,2020-01-26,New South Wales,Slope of power-law,0.0,4
437,2020-01-26,New South Wales,Acceleration of power-law,0.0,4
438,2020-01-26,New South Wales,Growth Rate,0.0,4
439,2020-01-26,New South Wales,Days since first case,4.0,4
440,2020-01-26,New South Wales,Average Growth Rate,0.0,4
441,2020-01-26,New South Wales,Doubling time,0.0,4
442,2020-01-26,Northern Territory,Total cases,0.0,4
443,2020-01-26,Northern Territory,Total cases per million,0.0,4
444,2020-01-26,Northern Territory,New cases,0.0,4
445,2020-01-26,Northern Territory,css_per_prsn,0.0,4
446,2020-01-26,Northern Territory,New cases per week,0.0,4
447,2020-01-26,Northern Territory,log10(Total cases),0.0,4
448,2020-01-26,Northern Territory,log10(New cases per week),0.0,4
449,2020-01-26,Northern Territory,Slope of power-law,0.0,4
450,2020-01-26,Northern Territory,Acceleration of power-law,0.0,4
451,2020-01-26,Northern Territory,Growth Rate,0.0,4
452,2020-01-26,Northern Territory,Days since first case,4.0,4
453,2020-01-26,Northern Territory,Average Growth Rate,0.0,4
454,2020-01-26,Northern Territory,Doubling time,0.0,4
455,2020-01-26,Queensland,Total cases,0.0,4
456,2020-01-26,Queensland,Total cases per million,0.0,4
457,2020-01-26,Queensland,New cases,0.0,4
458,2020-01-26,Queensland,css_per_prsn,0.0,4
459,2020-01-26,Queensland,New cases per week,0.0,4
460,2020-01-26,Queensland,log10(Total cases),0.0,4
461,2020-01-26,Queensland,log10(New cases per week),0.0,4
462,2020-01-26,Queensland,Slope of power-law,0.0,4
463,2020-01-26,Queensland,Acceleration of power-law,0.0,4
464,2020-01-26,Queensland,Growth Rate,0.0,4
465,2020-01-26,Queensland,Days since first case,4.0,4
466,2020-01-26,Queensland,Average Growth Rate,0.0,4
467,2020-01-26,Queensland,Doubling time,0.0,4
468,2020-01-26,South Australia,Total cases,0.0,4
469,2020-01-26,South Australia,Total cases per million,0.0,4
470,2020-01-26,South Australia,New cases,0.0,4
471,2020-01-26,South Australia,css_per_prsn,0.0,4
472,2020-01-26,South Australia,New cases per week,0.0,4
473,2020-01-26,South Australia,log10(Total cases),0.0,4
474,2020-01-26,South Australia,log10(New cases per week),0.0,4
475,2020-01-26,South Australia,Slope of power-law,0.0,4
476,2020-01-26,South Australia,Acceleration of power-law,0.0,4
477,2020-01-26,South Australia,Growth Rate,0.0,4
478,2020-01-26,South Australia,Days since first case,4.0,4
479,2020-01-26,South Australia,Average Growth Rate,0.0,4
480,2020-01-26,South Australia,Doubling time,0.0,4
481,2020-01-26,Tasmania,Total cases,0.0,4
482,2020-01-26,Tasmania,Total cases per million,0.0,4
483,2020-01-26,Tasmania,New cases,0.0,4
484,2020-01-26,Tasmania,css_per_prsn,0.0,4
485,2020-01-26,Tasmania,New cases per week,0.0,4
486,2020-01-26,Tasmania,log10(Total cases),0.0,4
487,2020-01-26,Tasmania,log10(New cases per week),0.0,4
488,2020-01-26,Tasmania,Slope of power-law,0.0,4
489,2020-01-26,Tasmania,Acceleration of power-law,0.0,4
